Model,AUC-ROC,AUC-PR,Precision,Recall,F1-Score,MCC
XGBoost,0.9396911973173387,0.7779093061625478,0.9455676516329704,0.6748057713651499,0.7875647668393783,0.7889018187456712
Ensemble (ML),0.9324217585303212,0.7575618345805404,0.8424657534246576,0.6825749167591565,0.7541385652973636,0.7450605791881995
Random Forest,0.92177414615249,0.7519719542293899,0.9427244582043344,0.6759156492785794,0.7873303167420814,0.7882853160438511
Hybrid (DL),0.9135770269733873,0.7571526904628373,0.8948905109489051,0.6803551609322974,0.7730138713745272,0.7688272701475161
LSTM,0.9036241267827048,0.6460745094082089,0.21219226260257915,0.8035516093229744,0.3357291908184558,0.3490089874648186
Logistic Regression,0.8780652800218591,0.31452439940883975,0.1774913237481408,0.7946725860155383,0.29017223910840934,0.3016300151831164
GraphSAGE,0.8762822289991683,0.5651445569223545,0.2275,0.7069922308546059,0.3442312888408538,0.33911127109625055
